Address,GPIB0::22::INSTR
Model,34461A
Serial Number:,MY60051737
Firmware Version,A.03.03-03.15-03.03-00.52-04-03
Start Time,2026-08-20 21:07:22.849
Stop Time,2026-08-20 21:30:08.981
,
Time (s),Channel 1 (Ω)
2026-08-20 21:07:23.352,23416.1793
2026-08-20 21:07:23.764,23416.6252
2026-08-20 21:07:24.188,23417.2251
2026-08-20 21:07:24.599,23417.5961
2026-08-20 21:07:25.019,23417.9457
2026-08-20 21:07:25.433,23415.6094
2026-08-20 21:07:25.845,23413.3896
2026-08-20 21:07:26.260,23413.1321
2026-08-20 21:07:26.681,23413.2778
2026-08-20 21:07:27.095,23413.5287
2026-08-20 21:07:27.508,23413.9645
2026-08-20 21:07:27.974,23414.4765
2026-08-20 21:07:28.386,23414.8873
2026-08-20 21:07:28.798,23415.3648
2026-08-20 21:07:29.210,23415.8224
2026-08-20 21:07:29.623,23416.3504
2026-08-20 21:07:30.036,23416.8362
2026-08-20 21:07:30.450,23417.3419
2026-08-20 21:07:30.918,23417.8322
2026-08-20 21:07:31.349,23418.3703
2026-08-20 21:07:31.762,23418.8857
2026-08-20 21:07:32.173,23419.2975
2026-08-20 21:07:32.600,23419.8615
2026-08-20 21:07:33.016,23420.3918
2026-08-20 21:07:33.446,23421.0731
2026-08-20 21:07:33.867,23421.4465
2026-08-20 21:07:34.279,23421.9553
2026-08-20 21:07:34.703,23422.6785
2026-08-20 21:07:35.167,23423.235
2026-08-20 21:07:35.583,23424.0993
2026-08-20 21:07:36.020,23424.4455
2026-08-20 21:07:36.434,23424.9048
2026-08-20 21:07:36.853,23425.546
2026-08-20 21:07:37.272,23426.0453
2026-08-20 21:07:37.684,23426.5672
2026-08-20 21:07:38.096,23426.8437
2026-08-20 21:07:38.540,23427.3708
2026-08-20 21:07:38.952,23427.7555
2026-08-20 21:07:39.363,23428.4823
2026-08-20 21:07:39.775,23428.8119
2026-08-20 21:07:40.188,23429.1614
2026-08-20 21:07:40.609,23429.7152
2026-08-20 21:07:41.075,23429.9211
2026-08-20 21:07:41.519,23430.4352
2026-08-20 21:07:41.968,23431.0282
2026-08-20 21:07:42.414,23431.4862
2026-08-20 21:07:42.828,23431.9239
2026-08-20 21:07:43.239,23432.6201
2026-08-20 21:07:43.653,23432.8824
2026-08-20 21:07:44.066,23433.4984
2026-08-20 21:07:44.494,23434.1987
2026-08-20 21:07:44.907,23434.4847
2026-08-20 21:07:45.319,23435.1775
2026-08-20 21:07:45.731,23435.3278
2026-08-20 21:07:46.144,23435.768
2026-08-20 21:07:46.557,23436.2262
2026-08-20 21:07:46.969,23436.3071
2026-08-20 21:07:47.391,23436.6052
2026-08-20 21:07:47.804,23436.96
2026-08-20 21:07:48.222,23437.492
2026-08-20 21:07:48.635,23437.8296
2026-08-20 21:07:49.047,23437.9595
2026-08-20 21:07:49.480,23438.5349
2026-08-20 21:07:49.892,23438.9878
2026-08-20 21:07:50.310,23439.2152
2026-08-20 21:07:50.722,23439.6832
2026-08-20 21:07:51.144,23440.2344
2026-08-20 21:07:51.560,23440.6023
2026-08-20 21:07:51.973,23440.9732
2026-08-20 21:07:52.435,23441.4621
2026-08-20 21:07:52.852,23441.7525
