Address,GPIB0::22::INSTR
Model,34461A
Serial Number:,MY60051737
Firmware Version,A.03.03-03.15-03.03-00.52-04-03
Start Time,2026-08-19 14:49:53.467
Stop Time,2026-08-19 15:13:56.461
,
Time (s),Channel 1 (Ω)
2026-08-19 14:49:53.944,31887.5239
2026-08-19 14:49:54.408,31886.7062
2026-08-19 14:49:54.824,31885.4912
2026-08-19 14:49:55.252,31884.5144
2026-08-19 14:49:55.671,31883.4734
2026-08-19 14:49:56.099,31882.1622
2026-08-19 14:49:56.511,31881.3536
2026-08-19 14:49:56.924,31880.4527
2026-08-19 14:49:57.351,31879.2115
2026-08-19 14:49:57.764,31878.3057
2026-08-19 14:49:58.177,31877.4687
2026-08-19 14:49:58.594,31876.5561
2026-08-19 14:49:59.006,31875.6433
2026-08-19 14:49:59.442,31874.5441
2026-08-19 14:49:59.856,31873.7246
2026-08-19 14:50:00.276,31872.7404
2026-08-19 14:50:00.693,31871.8667
2026-08-19 14:50:01.116,31870.9219
2026-08-19 14:50:01.536,31869.9918
2026-08-19 14:50:01.950,31869.1319
2026-08-19 14:50:02.379,31867.6889
2026-08-19 14:50:02.793,31867.0631
2026-08-19 14:50:03.219,31865.7768
2026-08-19 14:50:03.642,31865.1506
2026-08-19 14:50:04.054,31863.8646
2026-08-19 14:50:04.494,31862.5736
2026-08-19 14:50:04.907,31861.2548
2026-08-19 14:50:05.327,31859.9513
2026-08-19 14:50:05.741,31859.0369
2026-08-19 14:50:06.155,31858.0332
2026-08-19 14:50:06.568,31857.3113
2026-08-19 14:50:06.982,31856.133
2026-08-19 14:50:07.448,31854.7941
2026-08-19 14:50:07.862,31853.5394
2026-08-19 14:50:08.279,31852.4487
2026-08-19 14:50:08.701,31852.3305
2026-08-19 14:50:09.114,31851.6902
2026-08-19 14:50:09.556,31850.7189
2026-08-19 14:50:09.969,31849.8703
2026-08-19 14:50:10.390,31849.1249
2026-08-19 14:50:10.808,31848.5152
2026-08-19 14:50:11.271,31847.6029
2026-08-19 14:50:11.689,31846.9148
2026-08-19 14:50:12.103,31846.0292
2026-08-19 14:50:12.515,31845.0736
2026-08-19 14:50:12.927,31844.3183
2026-08-19 14:50:13.340,31843.1157
2026-08-19 14:50:13.764,31841.9777
2026-08-19 14:50:14.177,31840.3792
2026-08-19 14:50:14.606,31839.6961
2026-08-19 14:50:15.019,31839.0709
2026-08-19 14:50:15.432,31838.0144
2026-08-19 14:50:15.844,31837.0921
2026-08-19 14:50:16.256,31836.0024
2026-08-19 14:50:16.671,31835.4237
2026-08-19 14:50:17.088,31834.4667
2026-08-19 14:50:17.501,31833.5499
2026-08-19 14:50:17.934,31832.1852
2026-08-19 14:50:18.347,31831.2986
2026-08-19 14:50:18.759,31830.4821
2026-08-19 14:50:19.172,31829.4475
2026-08-19 14:50:19.598,31828.5965
2026-08-19 14:50:20.058,31827.5674
2026-08-19 14:50:20.476,31826.5917
2026-08-19 14:50:20.901,31825.5382
2026-08-19 14:50:21.315,31824.8812
2026-08-19 14:50:21.733,31824.0518
2026-08-19 14:50:22.150,31823.0733
2026-08-19 14:50:22.584,31821.841
2026-08-19 14:50:23.001,31820.9674
2026-08-19 14:50:23.413,31819.7959
